A	B
6.773	7.294
7.598	7.884
6.909	6.316
7.009	7.760
6.122	7.795
7.585	7.168
6.948	6.509
6.671	5.982
5.130	7.043
5.504	8.717
7.060	7.869
6.422	8.115
7.481	6.399
6.421	7.719
6.702	6.974
6.238	7.901
7.472	5.590
7.403	7.030
6.842	7.596
6.628	6.925
6.892	6.341
6.808	7.605
6.367	7.944
5.870	7.209
7.107	6.831
6.381	7.936
6.671	5.185
7.733	6.956
6.657	6.456
7.343	6.149
7.720	7.446
8.283	6.910
5.764	7.793
7.474	6.561
7.495	7.230
7.306	7.972
6.686	6.178
6.461	7.647
6.839	7.436
6.781	6.722
6.228	6.026
7.095	5.611
8.230	7.178
6.279	5.245
7.137	7.435
8.070	7.193
7.641	6.922
6.400	6.557
7.575	7.560
7.871	5.436
6.607	8.033
7.049	8.013
6.798	8.436
6.721	5.133
7.110	7.051
7.396	6.916
7.322	6.118
7.972	6.458
5.937	8.253
6.732	6.474
6.865	7.443
7.347	7.513
6.505	7.836
6.818	8.000
6.294	6.965
7.225	7.151
7.493	8.098
6.267	6.456
8.443	6.095
8.041	7.579
6.416	8.088
8.051	5.323
6.894	6.664
7.709	6.688
6.939	6.800
8.602	6.955
7.903	7.251
6.418	7.903
6.874	6.192
6.747	7.851
7.304	6.052
7.193	6.039
7.097	8.019
6.966	5.490
7.185	7.264
6.175	5.795
6.450	6.797
7.301	5.584
7.614	5.877
7.534	7.721
6.830	7.394
7.431	6.206
8.352	5.972
7.486	7.069
7.465	6.990
7.042	7.388
6.564	5.828
8.019	8.454
7.273	6.530
7.468	7.636
6.755	6.958
6.966	7.108
6.191	5.588
7.595	7.457
6.686	7.640
6.392	7.730
6.139	6.644
7.246	8.086
7.722	6.781
6.738	6.103
6.995	5.270
7.285	7.009
7.130	6.252
7.660	5.809
7.595	5.863
7.607	7.563
7.102	6.030
6.705	7.744
7.322	6.434
7.445	6.757
7.162	5.268
7.635	6.074
6.513	7.112
6.231	7.654
6.793	4.688
5.539	7.951
6.205	7.151
6.234	6.986
7.010	8.111
7.225	7.126
7.716	7.894
5.678	6.697
6.824	7.728
7.868	7.375
7.223	7.720
7.448	7.274
7.072	5.157
7.609	7.786
6.925	7.423
7.232	4.817
7.052	6.714
7.216	7.870
6.549	4.954
6.523	5.717
7.410	6.842
7.220	5.674
6.994	8.251
7.266	6.047
6.916	7.654
6.824	6.892
6.780	6.920
7.078	5.197
6.683	6.966
6.884	7.610
7.574	5.733
7.432	7.991
7.975	6.801
8.017	7.949
7.247	4.739
6.620	7.293
6.771	6.145
6.694	8.034
7.425	7.664
6.404	8.092
6.564	6.947
6.050	5.825
6.947	5.376
7.359	5.237
7.129	6.114
8.202	5.595
6.569	7.001
7.319	6.528
6.959	6.534
6.779	4.822
9.041	7.095
7.272	6.839
6.409	6.282
6.017	7.684
7.958	8.263
7.209	8.001
6.393	8.247
6.225	5.926
6.832	6.801
7.676	5.615
7.594	6.969
7.874	5.970
6.728	8.335
7.885	6.627
7.320	6.971
8.417	6.546
6.911	8.364
6.891	5.955
7.515	7.816
8.369	6.740
6.132	8.009
7.892	6.769
6.287	6.799
8.457	7.934
7.712	6.766
6.860	6.592
7.412	7.053
6.815	8.340
7.856	8.007
7.158	7.873
5.155	5.827
7.599	6.834
7.808	6.083
6.448	8.321
6.094	6.503
7.449	7.411
7.095	6.796
7.071	7.986
6.534	6.946
7.409	6.272
6.070	7.995
7.181	6.337
6.128	7.675
6.354	6.818
7.484	7.086
6.172	7.509
6.983	5.307
6.134	6.939
7.382	6.751
7.495	7.006
6.258	6.534
6.855	7.994
7.502	7.052
7.105	6.257
6.308	5.083
6.360	6.731
6.225	5.724
7.798	7.070
6.846	7.065
7.608	6.589
6.506	5.268
6.718	6.065
8.110	6.480
7.019	6.571
7.401	5.801
6.907	6.097
6.722	6.318
6.326	7.113
6.776	7.025
7.842	7.319
7.938	7.002
8.140	7.537
7.595	8.145
7.003	4.795
6.405	7.612
6.271	5.826
6.017	5.514
6.940	8.013
7.641	6.295
7.038	7.084
6.103	8.090
7.751	5.209
7.147	6.285
7.157	6.133
6.662	7.049
6.264	6.395
7.362	6.972
6.676	6.405
7.901	8.076
7.332	7.054
7.056	5.518
7.294	5.866
6.368	8.096
5.920	5.587
7.200	6.990
8.205	5.454
8.167	5.619
7.357	7.730
7.132	7.760
6.619	6.519
5.598	8.388
5.680	8.067
6.874	7.733
7.230	6.308
6.967	6.769
6.302	7.726
7.338	5.679
5.627	6.784
6.930	5.189
8.826	7.707
7.336	5.350
7.814	9.136
8.470	7.926
6.985	7.970
6.591	5.669
7.410	7.410
7.067	7.789
6.311	6.238
5.422	5.527
8.076	6.414
6.753	5.459
6.186	6.963
6.434	6.715
7.369	6.741
8.157	6.029
6.287	6.458
7.029	7.745
7.186	5.998
4.876	8.038
6.715	7.006
6.713	8.100
7.211	6.324
6.484	6.333
6.609	6.988
6.311	7.802
6.820	7.846
6.086	6.032
7.001	6.948
8.061	6.300
6.926	6.190
7.626	5.839
6.344	6.125
7.173	6.577
7.234	6.749
7.434	7.981
7.270	7.286
6.583	7.886
7.195	6.941
6.573	6.990
7.342	6.291
5.818	8.006
7.514	5.440
7.621	6.469
7.189	8.729
6.006	7.975
5.703	6.781
7.595	5.242
7.048	6.614
5.782	6.818
6.668	5.172
7.882	8.086
7.339	7.770
6.972	6.905
8.478	7.771
6.146	6.177
6.685	6.230
7.269	6.525
7.370	6.657
6.526	6.933
7.068	5.799
6.925	8.051
6.717	6.563
6.844	7.030
7.575	6.401
6.647	7.357
5.790	8.349
7.218	5.868
7.252	7.613
6.978	5.772
6.740	6.996
6.953	6.982
5.829	5.387
7.070	6.934
6.777	7.232
7.135	6.907
6.028	7.448
6.679	7.782
7.194	6.629
6.346	6.420
7.503	5.595
6.727	6.781
6.836	7.703
6.627	8.714
6.965	5.568
7.945	6.954
6.113	8.426
6.579	7.029
8.156	7.988
7.637	5.769
7.227	6.868
6.100	5.319
6.216	5.746
6.137	6.351
6.274	6.486
6.821	6.457
6.262	6.916
7.716	7.487
7.435	7.443
7.207	7.257
5.953	7.163
7.222	5.960
6.355	7.503
6.863	6.812
7.083	6.686
7.992	5.205
5.893	8.091
6.387	7.438
6.247	6.527
6.498	7.987
7.807	8.066
6.133	6.367
6.122	6.930
6.747	6.017
5.701	6.095
7.089	7.697
6.980	6.447
6.789	8.098
7.804	5.378
7.351	8.258
5.465	7.390
6.020	6.952
7.136	5.402
6.932	6.985
6.696	7.601
7.457	6.944
6.205	7.422
6.716	7.087
7.156	7.595
7.232	5.905
6.194	7.598
6.547	6.081
6.022	5.960
7.718	8.011
7.319	6.776
8.162	6.646
6.380	6.743
7.185	5.528
7.397	8.433
6.497	7.716
7.050	7.187
6.576	5.793
6.266	6.941
6.484	5.757
6.538	6.134
7.017	7.098
7.318	7.292
8.009	8.677
7.908	7.861
8.517	8.232
6.173	6.260
6.398	8.280
7.292	8.074
7.269	6.572
5.819	5.233
7.961	6.377
7.543	6.315
6.733	5.439
7.459	6.979
8.088	6.120
7.171	6.769
7.029	6.162
7.306	5.845
6.387	7.562
7.091	6.362
6.720	7.729
5.580	7.082
7.089	6.899
7.314	6.597
6.696	5.687
7.115	5.668
7.670	7.635
6.130	7.304
7.720	6.124
6.575	6.846
7.410	7.960
7.239	6.995
7.725	7.718
6.447	6.170
6.878	7.532
7.884	5.738
7.388	6.527
6.620	7.521
7.265	7.597
6.523	7.992
7.135	6.552
6.695	7.480
5.065	6.155
7.144	7.067
7.674	6.466
6.970	6.463
8.969	6.438
7.479	6.464
6.359	7.738
7.628	5.557
6.842	7.904
7.831	6.885
6.962	8.012
7.044	8.308
7.871	6.331
6.085	7.450
5.616	7.001
9.081	7.555
7.158	7.389
7.162	6.308
8.297	5.807
6.145	5.939
6.413	6.201
7.999	5.338
7.667	6.618
6.996	8.140
7.658	7.195
7.280	5.771
7.642	7.257
7.514	7.491
7.009	7.671
7.829	8.017
